ID,Start date,Biomass,Hydropower,Wind offshore,Wind onshore,Photovoltaics,Other renewable,Nuclear,Lignite,Hard coal,Fossil gas,Hydro pumped storage _x,Other conventional,Total (grid load),Residual load,Total Energy Generation,Total Renewables,Total Conventional,Energy Surplus,Year,DailySunshineHours,AverageWindSpeed
1,2015-01-01,96341.25,27463.0,12508.5,298791.75,17080.25,2148.5,251485.25,314599.0,60725.25,23806.0,23683.5,134117.0,1096852.75,768472.25,1239065.75,454333.25,784732.5,142213.0,2015,1.14,3.9
2,2015-01-02,96247.25,27087.75,10329.25,591620.75,7759.0,2904.0,218435.5,257344.0,83617.25,29919.25,25524.75,148762.0,1288914.75,679205.75,1474026.0,735948.0,738078.0,185111.25,2015,1.14,3.9
3,2015-01-03,95923.75,31135.75,12119.5,457043.5,7234.75,3245.0,245251.5,296727.5,60999.25,29790.75,26328.75,139297.0,1213309.5,736911.75,1378768.25,606702.25,772066.0,165458.75,2015,1.14,3.9
4,2015-01-04,96885.0,42212.25,11538.5,379029.5,19982.5,3247.0,251627.75,287900.5,47224.5,21470.75,26499.25,132493.75,1177896.0,767345.5,1293612.0,552894.75,740717.25,115716.0,2015,1.14,3.9
5,2015-01-05,96449.0,38092.5,7745.5,219623.5,26522.25,3217.75,267081.0,405171.25,177046.75,35151.75,25738.5,207876.0,1425927.5,1172036.25,1483977.25,391650.5,1092326.75,58049.75,2015,1.14,3.9
6,2015-01-06,94510.5,36153.0,6887.75,102706.75,32887.25,3246.25,273756.0,423603.75,259151.75,42873.25,19500.75,217470.5,1434875.0,1292393.25,1493246.75,276391.5,1216855.25,58371.75,2015,1.14,3.9
7,2015-01-07,95730.5,35462.5,10693.25,210599.0,17114.75,3265.5,274628.5,432580.25,259317.75,56351.25,26789.75,225419.5,1548897.0,1310490.0,1621162.75,372865.5,1248297.25,72265.75,2015,1.14,3.9
8,2015-01-08,95878.75,35839.25,12334.75,420530.25,8598.25,3004.0,272119.25,398987.0,223824.0,38659.5,30748.25,189578.0,1573448.5,1131985.25,1699353.0,576185.25,1123167.75,125904.5,2015,1.14,3.9
9,2015-01-09,97246.5,36483.5,8800.25,635351.75,6823.75,2994.25,265038.0,332049.25,120109.25,39516.0,32508.75,153610.25,1551795.5,900819.75,1698022.75,787700.0,910322.75,146227.25,2015,1.14,3.9
10,2015-01-10,97423.5,44021.25,6504.75,624062.5,20475.0,3190.75,260759.5,220411.25,46806.25,21427.5,27274.75,139439.5,1330121.5,679079.25,1484521.75,795677.75,688844.0,154400.25,2015,1.14,3.9
11,2015-01-11,97019.5,43132.75,9552.25,620424.5,19811.25,3252.5,245074.0,184685.5,39772.0,18218.0,21749.25,137690.25,1245315.5,595527.5,1418632.5,793192.75,625439.75,173317.0,2015,1.14,3.9
12,2015-01-12,97835.25,41993.0,11670.5,621972.25,11025.0,3156.75,260996.0,319847.75,116508.5,33819.75,25220.0,24344.0,1572223.0,927555.25,1543168.75,787652.75,755516.0,-29054.25,2015,1.14,3.9
13,2015-01-13,97231.0,40001.25,8940.75,508998.75,50283.75,2135.5,266823.25,349167.75,165980.25,37937.5,27453.0,23065.25,1557794.25,989571.0,1550565.0,707591.0,842974.0,-7229.25,2015,1.14,3.9
14,2015-01-14,96694.0,39135.0,8974.5,400045.75,18106.0,3017.0,269735.5,397912.0,217210.0,35094.5,28666.5,24753.0,1554254.25,1127128.0,1510677.25,565972.25,944705.0,-43577.0,2015,1.14,3.9
15,2015-01-15,97259.75,39645.75,12271.25,536748.75,17155.0,3321.25,264059.0,380706.75,174614.5,36535.5,29153.0,145820.0,1580828.75,1014653.75,1708137.5,706401.75,1001735.75,127308.75,2015,1.14,3.9
16,2015-01-16,96885.25,39171.25,10403.25,257051.5,22817.75,3271.0,268893.0,413406.75,241881.5,36610.25,28506.75,200534.25,1534068.75,1243796.25,1590925.75,429600.0,1161325.75,56857.0,2015,1.14,3.9
